Region,Partikod,Parti,1994,1998,2002,2006,2010,2014,2018
0123 Järfälla,M,Moderaterna,30.7,30.3,18.6,34.1,36.4,29.0,24.0
0123 Järfälla,C,Centerpartiet,3.1,1.7,2.0,4.1,4.2,4.0,6.3
0123 Järfälla,L,Liberalerna,10.0,6.1,18.3,9.5,8.4,6.1,6.0
0123 Järfälla,KD,Kristdemokraterna,3.8,11.7,9.3,6.8,6.0,5.0,6.3
0123 Järfälla,MP,Miljöpartiet,4.8,4.5,4.7,5.5,7.8,7.7,4.5
0123 Järfälla,S,Socialdemokraterna,39.8,33.8,37.2,30.1,25.7,28.6,27.7
0123 Järfälla,V,Vänsterpartiet,5.6,9.5,7.8,5.6,5.3,5.9,8.8
0123 Järfälla,SD,Sverigedemokraterna,..,0.6,1.3,2.2,4.8,10.2,15.0
0123 Järfälla,A,övriga partier,2.2,1.7,0.9,2.1,1.4,3.5,1.4
0125 Ekerö,M,Moderaterna,37.6,38.9,26.1,44.7,47.1,38.9,28.1
0125 Ekerö,C,Centerpartiet,7.2,3.6,3.8,7.0,7.3,7.1,11.2
0125 Ekerö,L,Liberalerna,10.3,6.0,20.4,10.3,9.3,7.3,7.6
0125 Ekerö,KD,Kristdemokraterna,3.5,12.9,10.5,7.4,7.1,6.3,7.8
0125 Ekerö,MP,Miljöpartiet,6.3,5.5,6.4,6.6,8.2,8.3,5.7
0125 Ekerö,S,Socialdemokraterna,28.4,24.0,25.8,17.1,13.2,16.1,17.2
0125 Ekerö,V,Vänsterpartiet,4.3,7.2,5.2,3.3,3.2,3.2,4.8
0125 Ekerö,SD,Sverigedemokraterna,..,0.5,0.8,1.4,3.4,9.3,16.2
0125 Ekerö,A,övriga partier,2.4,1.5,1.0,2.2,1.1,3.6,1.3
0126 Huddinge,M,Moderaterna,29.1,30.7,19.5,35.2,38.7,30.5,24.1
0126 Huddinge,C,Centerpartiet,3.2,1.7,1.9,4.2,4.4,4.2,7.5
0126 Huddinge,L,Liberalerna,8.9,5.5,17.0,9.1,7.7,6.0,6.1
0126 Huddinge,KD,Kristdemokraterna,2.9,10.0,8.1,6.2,5.2,4.1,5.3
0126 Huddinge,MP,Miljöpartiet,5.0,4.2,4.7,5.4,7.6,8.5,5.3
0126 Huddinge,S,Socialdemokraterna,41.5,34.0,37.3,29.1,24.8,26.9,26.1
0126 Huddinge,V,Vänsterpartiet,6.5,11.0,8.3,5.7,5.3,5.4,8.6
0126 Huddinge,SD,Sverigedemokraterna,..,0.9,1.7,2.7,4.8,10.4,15.2
0126 Huddinge,A,övriga partier,3.0,2.1,1.5,2.3,1.5,4.0,1.7
0127 Botkyrka,M,Moderaterna,23.4,24.1,13.8,27.0,30.0,22.1,18.5
0127 Botkyrka,C,Centerpartiet,2.8,1.6,1.6,3.3,2.8,2.7,5.2
0127 Botkyrka,L,Liberalerna,7.6,5.1,14.3,7.7,6.2,4.8,4.4
0127 Botkyrka,KD,Kristdemokraterna,3.1,9.9,9.6,6.7,5.1,5.7,8.1
0127 Botkyrka,MP,Miljöpartiet,5.1,4.3,4.7,5.4,6.9,8.1,3.9
0127 Botkyrka,S,Socialdemokraterna,48.5,40.6,43.1,38.4,35.7,36.1,32.3
0127 Botkyrka,V,Vänsterpartiet,6.7,12.0,10.3,7.2,7.1,6.8,9.8
0127 Botkyrka,SD,Sverigedemokraterna,..,0.5,1.2,2.2,4.9,10.3,16.1
0127 Botkyrka,A,övriga partier,2.9,1.8,1.4,2.1,1.4,3.4,1.7
0128 Salem,M,Moderaterna,30.5,30.7,19.8,35.5,38.6,30.7,24.8
0128 Salem,C,Centerpartiet,3.7,2.2,2.2,4.9,5.7,5.3,7.6
0128 Salem,L,Liberalerna,10.3,6.4,18.5,9.6,9.2,6.9,7.6
0128 Salem,KD,Kristdemokraterna,4.0,11.9,9.5,6.4,5.4,5.6,8.0
0128 Salem,MP,Miljöpartiet,6.2,4.9,5.0,5.8,7.8,7.8,4.5
0128 Salem,S,Socialdemokraterna,37.3,31.8,36.2,28.8,22.6,24.9,23.1
0128 Salem,V,Vänsterpartiet,5.5,9.5,6.0,4.1,4.0,4.2,6.0
0128 Salem,SD,Sverigedemokraterna,..,1.0,1.6,2.6,5.2,11.4,16.9
0128 Salem,A,övriga partier,2.4,1.6,1.1,2.3,1.4,3.2,1.6
0136 Haninge,M,Moderaterna,25.1,25.6,16.1,32.6,36.8,28.5,22.9
0136 Haninge,C,Centerpartiet,3.9,2.0,2.0,3.9,3.9,3.5,6.1
0136 Haninge,L,Liberalerna,8.0,4.3,14.7,7.9,6.9,5.2,5.1
0136 Haninge,KD,Kristdemokraterna,2.6,9.8,8.1,5.9,4.5,3.7,5.4
0136 Haninge,MP,Miljöpartiet,5.2,4.6,5.0,5.5,7.3,7.5,3.7
0136 Haninge,S,Socialdemokraterna,45.2,38.2,42.0,33.3,28.0,30.4,27.3
0136 Haninge,V,Vänsterpartiet,6.7,11.6,9.0,5.9,5.0,5.1,8.0
0136 Haninge,SD,Sverigedemokraterna,..,1.9,0.9,2.3,5.7,12.3,19.9
0136 Haninge,A,övriga partier,3.3,2.0,2.3,2.8,1.9,3.8,1.6
0138 Tyresö,M,Moderaterna,31.5,33.5,21.8,38.6,42.2,34.5,25.8
0138 Tyresö,C,Centerpartiet,3.3,1.8,2.0,4.9,4.8,4.6,7.9
0138 Tyresö,L,Liberalerna,9.2,5.7,18.4,9.3,8.4,6.5,6.9
0138 Tyresö,KD,Kristdemokraterna,3.3,10.2,7.8,5.9,5.5,4.6,5.8
0138 Tyresö,MP,Miljöpartiet,5.2,4.8,4.9,6.1,8.2,8.4,5.4
0138 Tyresö,S,Socialdemokraterna,38.9,32.3,35.2,26.2,21.5,24.0,23.9
0138 Tyresö,V,Vänsterpartiet,6.1,9.6,7.2,4.9,4.0,4.3,6.4
0138 Tyresö,SD,Sverigedemokraterna,..,0.5,1.0,1.5,4.1,9.6,16.3
0138 Tyresö,A,övriga partier,2.6,1.6,1.6,2.6,1.3,3.5,1.6
0139 Upplands-Bro,M,Moderaterna,27.1,27.1,18.0,31.9,35.1,27.3,23.2
0139 Upplands-Bro,C,Centerpartiet,3.9,2.2,2.8,4.4,4.2,4.0,6.0
0139 Upplands-Bro,L,Liberalerna,7.5,4.5,15.5,7.7,8.2,6.7,5.4
0139 Upplands-Bro,KD,Kristdemokraterna,4.8,12.6,10.9,8.4,7.0,5.7,7.5
0139 Upplands-Bro,MP,Miljöpartiet,4.0,4.0,3.8,5.0,6.8,6.4,3.3
0139 Upplands-Bro,S,Socialdemokraterna,44.9,36.4,39.4,32.4,27.7,29.6,26.2
0139 Upplands-Bro,V,Vänsterpartiet,5.8,11.2,7.9,5.7,4.5,4.9,6.7
0139 Upplands-Bro,SD,Sverigedemokraterna,..,0.3,0.8,2.6,5.2,12.3,20.1
0139 Upplands-Bro,A,övriga partier,2.1,1.7,0.9,1.9,1.4,3.1,1.7
0140 Nykvarn,M,Moderaterna,..,26.1,17.6,34.6,41.7,31.5,27.2
0140 Nykvarn,C,Centerpartiet,..,4.2,4.8,7.1,5.1,5.8,7.7
0140 Nykvarn,L,Liberalerna,..,5.4,14.0,7.2,6.9,4.5,4.6
0140 Nykvarn,KD,Kristdemokraterna,..,8.4,8.2,5.8,5.0,3.8,6.1
0140 Nykvarn,MP,Miljöpartiet,..,4.0,4.2,4.1,6.1,5.6,3.0
0140 Nykvarn,S,Socialdemokraterna,..,42.4,42.9,32.6,23.9,26.3,22.4
0140 Nykvarn,V,Vänsterpartiet,..,7.9,5.2,2.8,2.5,2.5,3.5
0140 Nykvarn,SD,Sverigedemokraterna,..,0.9,1.9,2.9,7.3,18.0,24.6
0140 Nykvarn,A,övriga partier,..,0.7,1.2,2.9,1.5,2.0,1.0
0160 Täby,M,Moderaterna,47.3,49.8,35.1,53.8,50.8,45.3,36.0
0160 Täby,C,Centerpartiet,3.6,1.7,2.0,5.2,7.8,6.4,11.0
0160 Täby,L,Liberalerna,13.5,8.7,25.3,11.2,11.5,11.3,10.7
0160 Täby,KD,Kristdemokraterna,4.2,12.8,9.6,7.5,8.7,7.0,8.3
0160 Täby,MP,Miljöpartiet,4.3,3.0,3.6,3.8,5.2,6.1,4.1
0160 Täby,S,Socialdemokraterna,22.8,18.2,19.5,13.8,10.7,12.5,14.0
0160 Täby,V,Vänsterpartiet,2.8,4.3,3.4,2.1,1.9,2.2,3.2
0160 Täby,SD,Sverigedemokraterna,..,0.1,0.9,1.1,2.3,6.4,11.4
0160 Täby,A,övriga partier,1.6,1.4,0.6,1.5,1.0,2.7,1.3
0162 Danderyd,M,Moderaterna,58.0,59.3,45.1,59.7,52.1,50.0,41.6
0162 Danderyd,C,Centerpartiet,3.4,1.8,1.9,6.3,11.1,7.1,11.3
0162 Danderyd,L,Liberalerna,12.0,8.7,24.7,10.6,10.1,11.9,11.2
0162 Danderyd,KD,Kristdemokraterna,5.9,13.5,10.7,9.4,13.3,10.5,10.1
0162 Danderyd,MP,Miljöpartiet,3.2,2.6,3.2,3.0,3.9,4.7,3.8
0162 Danderyd,S,Socialdemokraterna,14.2,10.5,11.2,7.8,5.8,6.8,8.0
0162 Danderyd,V,Vänsterpartiet,1.8,2.6,2.1,1.2,1.2,1.3,2.4
0162 Danderyd,SD,Sverigedemokraterna,..,0.1,0.5,0.7,1.7,5.3,10.3
0162 Danderyd,A,övriga partier,1.4,0.9,0.7,1.2,0.8,2.4,1.3
0163 Sollentuna,M,Moderaterna,35.3,36.8,24.5,41.1,42.2,36.1,28.1
0163 Sollentuna,C,Centerpartiet,3.8,2.2,2.5,6.0,7.0,5.6,10.2
0163 Sollentuna,L,Liberalerna,12.0,7.6,21.5,10.9,9.8,8.8,9.0
0163 Sollentuna,KD,Kristdemokraterna,4.5,12.7,9.9,7.6,7.7,6.4,7.5
0163 Sollentuna,MP,Miljöpartiet,5.2,4.4,4.7,5.2,7.3,8.2,5.3
0163 Sollentuna,S,Socialdemokraterna,32.5,26.4,29.2,21.8,17.8,20.2,20.9
0163 Sollentuna,V,Vänsterpartiet,4.5,7.5,5.9,4.1,3.8,4.2,6.5
0163 Sollentuna,SD,Sverigedemokraterna,..,0.5,1.0,1.3,3.2,7.1,11.2
0163 Sollentuna,A,övriga partier,2.2,1.8,0.6,2.0,1.3,3.4,1.4
0180 Stockholm,M,Moderaterna,32.2,33.7,21.0,35.1,34.3,27.7,21.9
0180 Stockholm,C,Centerpartiet,3.2,1.7,1.8,5.6,6.3,4.9,9.1
0180 Stockholm,L,Liberalerna,10.2,7.5,19.5,10.0,8.6,7.9,7.9
0180 Stockholm,KD,Kristdemokraterna,3.0,8.9,6.6,5.0,5.3,4.3,4.9
0180 Stockholm,MP,Miljöpartiet,5.8,5.6,6.8,9.3,12.2,11.1,7.7
0180 Stockholm,S,Socialdemokraterna,34.8,27.2,31.4,23.2,20.9,21.6,23.8
0180 Stockholm,V,Vänsterpartiet,8.4,12.9,10.9,7.4,7.4,7.7,13.1
0180 Stockholm,SD,Sverigedemokraterna,..,0.4,1.0,1.6,3.2,6.6,9.8
0180 Stockholm,A,övriga partier,2.4,2.1,1.0,2.7,1.8,8.1,1.9
0181 Södertälje,M,Moderaterna,22.8,22.5,14.5,26.8,29.5,23.1,19.8
0181 Södertälje,C,Centerpartiet,4.5,3.4,3.4,5.4,3.9,3.8,5.9
0181 Södertälje,L,Liberalerna,7.1,3.9,12.9,7.1,6.2,4.6,4.5
0181 Södertälje,KD,Kristdemokraterna,3.1,10.3,9.7,7.2,5.4,6.9,11.2
0181 Södertälje,MP,Miljöpartiet,5.9,5.4,6.0,6.4,8.3,7.3,4.5
0181 Södertälje,S,Socialdemokraterna,49.2,41.4,42.3,36.0,34.0,32.0,27.2
0181 Södertälje,V,Vänsterpartiet,5.5,10.3,7.5,5.6,5.2,5.8,7.7
0181 Södertälje,SD,Sverigedemokraterna,..,0.6,0.7,1.9,5.6,12.3,17.5
0181 Södertälje,A,övriga partier,2.0,2.2,3.1,3.5,2.0,4.1,1.8
0182 Nacka,M,Moderaterna,37.3,40.0,27.4,43.8,44.0,37.1,28.7
0182 Nacka,C,Centerpartiet,3.2,2.0,1.7,5.7,7.4,6.3,12.2
0182 Nacka,L,Liberalerna,11.4,7.3,22.0,10.2,9.0,8.5,8.4
0182 Nacka,KD,Kristdemokraterna,3.2,10.1,7.9,6.3,6.9,5.2,6.1
0182 Nacka,MP,Miljöpartiet,5.2,4.5,5.4,6.6,8.7,9.6,6.5
0182 Nacka,S,Socialdemokraterna,31.7,25.3,26.9,19.9,16.0,17.7,19.4
0182 Nacka,V,Vänsterpartiet,5.6,9.0,6.9,4.3,4.0,4.3,6.5
0182 Nacka,SD,Sverigedemokraterna,..,0.2,0.9,1.3,2.7,6.5,10.8
0182 Nacka,A,övriga partier,2.5,1.5,0.9,1.9,1.3,4.7,1.4
0183 Sundbyberg,M,Moderaterna,25.2,28.9,19.2,33.4,34.6,27.1,22.4
0183 Sundbyberg,C,Centerpartiet,3.1,1.7,2.0,4.6,4.5,4.2,8.1
0183 Sundbyberg,L,Liberalerna,8.2,6.2,17.2,9.2,7.9,6.2,7.1
0183 Sundbyberg,KD,Kristdemokraterna,2.3,8.2,6.4,4.4,4.0,3.6,5.0
0183 Sundbyberg,MP,Miljöpartiet,4.8,4.9,5.6,7.0,9.9,10.1,6.0
0183 Sundbyberg,S,Socialdemokraterna,45.0,34.3,37.3,29.8,25.9,27.7,26.6
0183 Sundbyberg,V,Vänsterpartiet,8.1,12.9,9.7,7.0,6.9,7.1,11.0
0183 Sundbyberg,SD,Sverigedemokraterna,..,0.5,1.5,2.1,4.4,9.2,12.2
0183 Sundbyberg,A,övriga partier,3.3,2.5,1.1,2.6,1.8,4.9,1.6
0184 Solna,M,Moderaterna,35.1,33.2,21.8,37.8,38.1,29.9,23.7
0184 Solna,C,Centerpartiet,2.9,1.9,1.8,5.1,5.8,4.9,9.0
0184 Solna,L,Liberalerna,9.8,6.9,19.4,10.7,9.1,8.1,8.1
0184 Solna,KD,Kristdemokraterna,3.2,10.2,6.9,5.1,5.4,4.4,5.8
0184 Solna,MP,Miljöpartiet,4.6,4.4,5.5,7.0,10.0,10.0,6.3
0184 Solna,S,Socialdemokraterna,35.5,29.7,33.3,24.4,20.6,22.5,24.0
0184 Solna,V,Vänsterpartiet,6.8,11.2,9.3,6.0,6.1,6.7,9.9
0184 Solna,SD,Sverigedemokraterna,..,0.3,0.9,1.6,3.4,7.7,11.3
0184 Solna,A,övriga partier,2.1,2.1,1.1,2.3,1.6,5.7,1.8
0186 Lidingö,M,Moderaterna,50.2,50.7,36.4,52.9,48.7,44.7,36.0
0186 Lidingö,C,Centerpartiet,4.3,2.0,1.8,6.4,10.1,7.0,11.8
0186 Lidingö,L,Liberalerna,12.5,9.3,26.5,11.9,10.7,11.6,10.8
0186 Lidingö,KD,Kristdemokraterna,4.7,12.9,9.3,8.1,10.0,7.9,8.6
0186 Lidingö,MP,Miljöpartiet,3.9,3.5,4.1,4.3,5.7,6.4,4.9
0186 Lidingö,S,Socialdemokraterna,19.9,15.4,17.0,11.5,9.2,11.0,12.3
0186 Lidingö,V,Vänsterpartiet,2.9,4.6,3.5,2.2,1.9,2.0,3.5
0186 Lidingö,SD,Sverigedemokraterna,..,0.3,0.8,1.4,2.7,6.4,11.0
0186 Lidingö,A,övriga partier,1.6,1.2,0.5,1.2,0.9,2.9,1.1
0187 Vaxholm,M,Moderaterna,36.9,39.5,26.3,46.6,48.5,41.1,30.3
0187 Vaxholm,C,Centerpartiet,6.2,3.2,3.6,6.9,8.5,7.9,13.3
0187 Vaxholm,L,Liberalerna,10.2,6.3,23.1,8.9,9.3,8.7,7.8
0187 Vaxholm,KD,Kristdemokraterna,3.2,12.5,9.7,7.8,6.9,5.5,7.9
0187 Vaxholm,MP,Miljöpartiet,6.7,5.3,4.9,6.9,7.6,8.5,5.5
0187 Vaxholm,S,Socialdemokraterna,30.7,24.1,25.7,17.2,12.4,15.2,16.4
0187 Vaxholm,V,Vänsterpartiet,4.4,7.8,5.7,2.9,3.0,3.2,4.7
0187 Vaxholm,SD,Sverigedemokraterna,..,0.1,0.6,1.1,2.7,6.7,13.1
0187 Vaxholm,A,övriga partier,1.8,1.3,0.5,1.7,1.2,3.3,1.1
0188 Norrtälje,M,Moderaterna,23.6,25.4,17.3,32.0,36.1,27.9,22.2
0188 Norrtälje,C,Centerpartiet,11.3,7.8,8.6,9.5,8.0,7.4,9.6
0188 Norrtälje,L,Liberalerna,5.7,3.8,13.1,6.7,6.6,4.6,4.7
0188 Norrtälje,KD,Kristdemokraterna,3.1,11.4,8.3,6.3,4.9,3.6,5.9
0188 Norrtälje,MP,Miljöpartiet,5.5,4.5,4.6,4.9,7.2,6.3,3.8
0188 Norrtälje,S,Socialdemokraterna,43.2,34.7,39.3,31.5,26.5,29.9,26.2
0188 Norrtälje,V,Vänsterpartiet,5.6,9.7,6.2,4.8,4.5,4.5,6.2
0188 Norrtälje,SD,Sverigedemokraterna,..,0.2,0.5,2.1,5.0,12.4,19.9
0188 Norrtälje,A,övriga partier,2.1,2.5,2.0,2.2,1.3,3.4,1.4
0191 Sigtuna,M,Moderaterna,29.2,31.0,20.1,34.7,38.2,30.2,24.7
0191 Sigtuna,C,Centerpartiet,5.6,3.2,3.7,5.3,4.5,4.3,6.7
0191 Sigtuna,L,Liberalerna,7.7,4.3,15.4,7.6,7.1,5.0,4.9
0191 Sigtuna,KD,Kristdemokraterna,3.1,11.1,9.3,6.3,5.9,5.2,7.6
0191 Sigtuna,MP,Miljöpartiet,4.5,3.7,4.2,4.5,6.3,6.5,3.4
0191 Sigtuna,S,Socialdemokraterna,42.6,33.5,38.1,32.9,27.9,28.3,25.5
0191 Sigtuna,V,Vänsterpartiet,4.9,9.6,6.8,4.1,3.8,4.6,6.4
0191 Sigtuna,SD,Sverigedemokraterna,..,0.2,1.7,2.5,5.0,12.8,19.3
0191 Sigtuna,A,övriga partier,2.4,3.4,0.6,2.1,1.2,3.1,1.6
0192 Nynäshamn,M,Moderaterna,22.2,24.5,15.8,31.3,35.0,26.4,21.1
0192 Nynäshamn,C,Centerpartiet,4.8,3.2,3.6,5.1,4.5,4.3,6.4
0192 Nynäshamn,L,Liberalerna,6.4,3.8,13.2,6.6,6.3,5.3,4.5
0192 Nynäshamn,KD,Kristdemokraterna,2.8,10.9,8.7,6.0,4.8,3.8,5.8
0192 Nynäshamn,MP,Miljöpartiet,6.2,4.8,4.9,5.2,7.2,6.4,3.8
0192 Nynäshamn,S,Socialdemokraterna,48.2,37.8,42.8,34.9,29.3,30.6,27.3
0192 Nynäshamn,V,Vänsterpartiet,7.5,12.9,8.8,5.7,5.4,5.1,6.8
0192 Nynäshamn,SD,Sverigedemokraterna,..,0.3,1.8,3.0,6.1,14.7,23.1
0192 Nynäshamn,A,övriga partier,2.0,1.7,0.5,2.2,1.4,3.3,1.3
0305 Håbo,M,Moderaterna,34.1,34.1,23.3,39.6,42.6,33.8,26.6
0305 Håbo,C,Centerpartiet,4.7,3.2,4.0,5.9,5.0,4.9,7.1
0305 Håbo,L,Liberalerna,6.7,3.7,13.9,6.8,7.2,4.9,5.4
0305 Håbo,KD,Kristdemokraterna,2.8,11.6,10.9,6.3,4.7,4.3,6.5
0305 Håbo,MP,Miljöpartiet,4.1,3.9,3.8,3.9,5.5,5.6,2.8
0305 Håbo,S,Socialdemokraterna,39.9,33.9,36.6,28.8,24.9,25.7,21.1
0305 Håbo,V,Vänsterpartiet,4.4,7.5,5.0,3.6,3.1,3.4,5.2
0305 Håbo,SD,Sverigedemokraterna,..,0.2,1.0,2.3,5.9,14.9,24.2
0305 Håbo,A,övriga partier,3.2,2.0,1.4,2.7,1.1,2.7,1.2
0319 Älvkarleby,M,Moderaterna,8.8,10.4,6.8,14.6,19.3,12.8,11.6
0319 Älvkarleby,C,Centerpartiet,2.8,2.2,3.2,4.6,3.2,3.1,4.4
0319 Älvkarleby,L,Liberalerna,4.8,3.3,8.2,5.0,5.0,2.8,3.4
0319 Älvkarleby,KD,Kristdemokraterna,1.2,5.6,4.8,3.7,2.5,2.2,4.3
0319 Älvkarleby,MP,Miljöpartiet,3.0,3.3,3.5,3.5,5.2,3.8,2.2
0319 Älvkarleby,S,Socialdemokraterna,71.6,56.8,61.2,54.4,48.9,47.1,39.3
0319 Älvkarleby,V,Vänsterpartiet,6.2,16.8,10.0,7.6,6.8,6.2,6.8
0319 Älvkarleby,SD,Sverigedemokraterna,..,0.9,2.3,3.8,7.9,19.8,26.7
0319 Älvkarleby,A,övriga partier,1.7,0.7,0.1,2.9,1.0,2.2,1.2
0330 Knivsta,M,Moderaterna,..,..,20.1,34.0,38.2,30.6,23.3
0330 Knivsta,C,Centerpartiet,..,..,6.8,10.1,9.2,8.0,10.7
0330 Knivsta,L,Liberalerna,..,..,17.9,9.9,9.5,6.5,7.2
0330 Knivsta,KD,Kristdemokraterna,..,..,10.5,7.9,7.1,6.7,8.5
0330 Knivsta,MP,Miljöpartiet,..,..,5.0,5.5,7.4,8.0,5.4
0330 Knivsta,S,Socialdemokraterna,..,..,31.8,24.3,19.2,21.7,20.8
0330 Knivsta,V,Vänsterpartiet,..,..,5.5,3.6,3.5,3.9,5.4
0330 Knivsta,SD,Sverigedemokraterna,..,..,1.6,2.6,4.4,10.8,16.9
0330 Knivsta,A,övriga partier,..,..,0.8,2.2,1.4,3.7,1.6
1917 Heby,M,Moderaterna,14.6,15.7,9.6,18.9,23.8,16.4,13.8
1917 Heby,C,Centerpartiet,18.6,14.5,16.9,17.0,14.4,13.1,13.2
1917 Heby,L,Liberalerna,4.2,2.6,8.4,5.0,5.2,2.7,3.0
1917 Heby,KD,Kristdemokraterna,4.6,12.2,10.5,7.1,5.5,4.8,8.0
1917 Heby,MP,Miljöpartiet,5.4,4.0,3.5,3.1,4.3,3.6,2.3
1917 Heby,S,Socialdemokraterna,46.1,37.4,40.5,36.7,33.9,35.5,29.1
1917 Heby,V,Vänsterpartiet,5.3,12.3,8.4,5.9,4.8,4.6,5.5
1917 Heby,SD,Sverigedemokraterna,..,0.3,1.4,3.8,6.9,16.5,22.9
1917 Heby,A,övriga partier,1.3,0.8,0.8,2.4,1.3,2.9,2.1
0360 Tierp,M,Moderaterna,11.5,12.4,8.2,14.7,20.6,15.1,13.8
0360 Tierp,C,Centerpartiet,13.3,10.8,12.5,14.3,10.4,9.7,11.3
0360 Tierp,L,Liberalerna,5.3,3.1,8.1,5.5,4.6,2.9,3.1
0360 Tierp,KD,Kristdemokraterna,2.9,9.3,7.7,5.5,3.6,2.9,5.4
0360 Tierp,MP,Miljöpartiet,3.7,3.9,3.7,3.6,4.7,4.2,2.7
0360 Tierp,S,Socialdemokraterna,57.1,48.4,50.7,45.8,42.9,42.6,33.9
0360 Tierp,V,Vänsterpartiet,4.4,10.5,7.3,5.5,5.3,5.1,6.6
0360 Tierp,SD,Sverigedemokraterna,..,1.0,1.5,3.1,6.3,14.3,20.9
0360 Tierp,A,övriga partier,1.8,0.7,0.4,2.0,1.6,3.3,2.2
0380 Uppsala,M,Moderaterna,23.9,25.2,15.1,26.9,29.5,22.3,18.4
0380 Uppsala,C,Centerpartiet,6.3,4.4,5.1,8.6,7.6,5.9,8.9
0380 Uppsala,L,Liberalerna,10.9,7.9,18.6,11.3,9.1,7.4,7.4
0380 Uppsala,KD,Kristdemokraterna,4.5,11.0,8.9,7.0,6.4,5.2,6.9
0380 Uppsala,MP,Miljöpartiet,7.1,6.6,6.9,7.8,11.2,10.6,7.2
0380 Uppsala,S,Socialdemokraterna,38.5,30.4,33.7,26.9,24.0,25.9,26.5
0380 Uppsala,V,Vänsterpartiet,6.7,11.6,9.4,6.5,6.4,7.7,11.0
0380 Uppsala,SD,Sverigedemokraterna,..,0.6,1.5,2.0,3.8,8.1,11.5
0380 Uppsala,A,övriga partier,2.1,2.3,0.9,3.0,2.0,6.8,2.2
0381 Enköping,M,Moderaterna,22.8,25.4,16.3,29.1,34.8,26.5,22.9
0381 Enköping,C,Centerpartiet,12.5,9.7,11.4,12.5,10.0,8.9,10.0
0381 Enköping,L,Liberalerna,6.0,3.2,10.8,5.2,5.3,5.0,4.6
